"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22772",2020,6,"2020_6",1478,"4324734003",1577,565,"card",14282.7,"Howell (O&R)","not in list","0",0,0
"22773",2020,5,"2020_5",1110,"4879155007",1142,401,"ach",8473.41,"Howell (O&R)",">=$50,000","0",0,0
"22774",2021,12,"2021_12",1148,"6984401010",1188,431,"card",888.043,"Howell (O&R)",">=$50,000","0",0,0
"22775",2021,12,"2021_12",1148,"6984401010",1188,431,"card",888.043,"Howell (O&R)",">=$50,000","0",0,0
"22776",2021,12,"2021_12",1148,"6984401010",1188,431,"card",888.043,"Howell (O&R)",">=$50,000","0",0,0
"22777",2021,12,"2021_12",1148,"6984401010",1188,431,"card",888.043,"Howell (O&R)",">=$50,000","0",0,0
"22778",2021,12,"2021_12",1148,"6984401010",1188,431,"card",888.043,"Howell (O&R)",">=$50,000","0",0,0
"22779",2021,12,"2021_12",770,"7076773000",729,161,"card",5439.26,"Howell (O&R)","No Data","0",0,0
"22780",2021,12,"2021_12",38,"7376061001",39,8,"card",4773.23,"Howell (O&R)",">=$50,000","0",0,0
"22781",2021,12,"2021_12",38,"7376061001",39,8,"card",4773.23,"Howell (O&R)",">=$50,000","0",0,0
"22782",2020,6,"2020_6",767,"4172488018",726,158,"card",10360.5,"Howell (O&R)","$0-$49,999","0",0,0
"22783",2021,12,"2021_12",1288,"6738692027",1342,507,"ach",7696.37,"Howell (O&R)",">=$50,000","0",0,0
"22784",2021,12,"2021_12",1288,"6738692027",1342,507,"card",7696.37,"Howell (O&R)",">=$50,000","0",0,0
"22785",2021,12,"2021_12",898,"4972594008",880,249,"card",13949.7,"Howell (O&R)",">=$50,000","0",0,0
"22786",2021,12,"2021_12",898,"4972594008",880,249,"card",13949.7,"Howell (O&R)",">=$50,000","0",0,0
"22787",2020,6,"2020_6",1027,"8992011004",1041,339,"card",5217.25,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22788",2020,6,"2020_6",1027,"8992011004",1041,339,"card",5217.25,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22789",2020,6,"2020_6",1027,"8992011004",1041,339,"card",5217.25,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22790",2021,12,"2021_12",17,"1769073011",17,1,"ach",2590.13,"Howell (O&R)","No Data","0",0,0
"22791",2020,6,"2020_6",1477,"4387734003",1577,565,"card",12173.6,"Howell (O&R)","not in list","0",0,0
"22792",2021,12,"2021_12",544,"1481344004",495,82,"card",8658.42,"Howell (O&R)",">=$50,000","0",0,0
"22793",2021,12,"2021_12",1433,"3061588077",1732,585,"card",10101.5,"Howell (O&R)",">=$50,000","0",0,0
"22794",2021,12,"2021_12",1034,"4659693002",1048,344,"card",5772.28,"Howell (O&R)",">=$50,000","0",0,0
"22795",2021,12,"2021_12",1034,"4659693002",1048,344,"card",5772.28,"Howell (O&R)",">=$50,000","0",0,0
"22796",2021,12,"2021_12",1034,"4659693002",1048,344,"card",5772.28,"Howell (O&R)",">=$50,000","0",0,0
"22797",2020,6,"2020_6",1488,"4051733007",1577,565,"card",10767.5,"Howell (O&R)","not in list","0",0,0
"22798",2020,6,"2020_6",854,"4270150004",836,227,"card",2960.14,"Howell (O&R)",">=$50,000","0",0,0
"22799",2020,6,"2020_6",854,"4270150004",836,227,"card",2960.14,"Howell (O&R)",">=$50,000","0",0,0
"22800",2020,6,"2020_6",854,"4270150004",836,227,"card",2960.14,"Howell (O&R)",">=$50,000","0",0,0
"22801",2020,6,"2020_6",854,"4270150004",836,227,"card",2960.14,"Howell (O&R)",">=$50,000","0",0,0
"22802",2021,12,"2021_12",864,"6412151007",846,233,"card",13616.7,"Howell (O&R)","not in list","0",0,0
"22803",2021,12,"2021_12",864,"6412151007",846,233,"card",13616.7,"Howell (O&R)","not in list","0",0,0
"22804",2021,12,"2021_12",864,"6412151007",846,233,"card",13616.7,"Howell (O&R)","not in list","0",0,0
"22805",2021,12,"2021_12",864,"6412151007",846,233,"card",13616.7,"Howell (O&R)","not in list","0",0,0
"22806",2021,12,"2021_12",1245,"9567404049",1295,489,"card",1850.09,"Howell (O&R)","$0-$49,999","0",0,0
"22807",2021,12,"2021_12",1245,"9567404049",1295,489,"card",1850.09,"Howell (O&R)","$0-$49,999","0",0,0
"22808",2021,12,"2021_12",1403,"2303497058",1594,567,"card",7807.38,"Howell (O&R)",">=$50,000","0",0,0
